Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
A101,XIAO-ESP32S3-DIP,1,~,
"C101, C102, C103, C104, C105, C106",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,6,0.1u,
C107,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,10uF,
C108,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,0.1uF,
J101,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,
J102,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor1,
J104,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor2,
J105,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor5,
J106,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor3,
J108,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor6,
J109,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Thermistor4,
J110,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J111,PinHeader_1x04_P2.54mm_Vertical,1,GVCD,
J112,PinHeader_1x04_P2.54mm_Vertical,1,GVDC,
"R101, R102, R103, R104, R105, R106",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,100k,
"R107, R108, R110, R111, R112, R113",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,10k,
R109,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,22Ω,
"TP101, TP102, TP104, TP106, TP108, TP110, TP112",PinHeader_1x01_P2.54mm_Vertical,7,TestPoint,
