Designator,Mid X,Mid Y,Rotation,Layer
_6,175.0,-84.0,0.0,top
_5,105.0,-124.0,0.0,top
_4,175.0,-124.0,0.0,top
_3,105.0,-84.0,0.0,top
_2,175.0,-124.0,0.0,top
,105.0,-124.0,0.0,top
A101,121.0,-91.0,0.0,top
C101,140.462,-111.058,90.0,top
C102,118.872,-111.252,90.0,top
C103,135.128,-110.998,90.0,top
C104,113.284,-110.998,90.0,top
C105,129.794,-110.998,90.0,top
C106,124.206,-111.252,90.0,top
C107,151.16,-104.648,0.0,top
C108,151.1,-101.346,0.0,top
J101,136.398,-83.016,0.0,top
J102,163.814,-119.38,0.0,top
J104,154.262199,-119.38,0.0,top
J105,125.599399,-119.38,0.0,top
J106,144.707932,-119.38,0.0,top
J108,116.045133,-119.38,0.0,top
J109,135.153666,-119.38,0.0,top
J110,159.512,-89.841,180.0,top
J111,103.124,-94.234,0.0,top
J112,103.124,-107.95,0.0,top
R101,137.668,-105.918,90.0,top
R102,115.9256,-105.918,90.0,top
R103,132.2324,-105.918,90.0,top
R104,110.49,-105.918,90.0,top
R105,126.7968,-105.918,90.0,top
R106,121.3612,-105.918,90.0,top
R107,158.466,-103.124,90.0,top
R108,164.054,-103.124,90.0,top
R109,146.782,-90.932,0.0,top
R110,161.26,-103.124,90.0,top
R111,166.594,-103.124,90.0,top
R112,105.41,-117.094,90.0,top
R113,103.124,-117.094,90.0,top
TP101,108.458,-117.856,0.0,top
TP102,163.878867,-125.36,0.0,top
TP104,125.886267,-125.36,0.0,top
TP106,154.549066,-125.36,0.0,top
TP108,116.332,-125.36,0.0,top
TP110,144.9948,-125.36,0.0,top
TP112,135.440533,-125.36,0.0,top
